cma,immigrant_status,avg_total_stir,avg_owner_stir,avg_renter_stir,avg_gap,avg_income,n_csds
Edmonton,Immigrant,19.994999999999997,19.394736842105264,22.476923076923075,2.4076923076923076,130945.0,34
Edmonton,Non-immigrants,19.095454545454547,17.827272727272728,25.09090909090909,7.263636363636365,137963.63636363635,34
Edmonton,Total Immigrant Status,19.240909090909092,18.063636363636366,24.86818181818182,6.804545454545454,136959.0909090909,34
Montréal,Immigrant,18.734831460674158,18.213483146067414,22.065333333333335,3.6386666666666665,135485.39325842698,93
Montréal,Non-immigrants,16.00449438202247,14.63820224719101,21.36818181818182,6.7102272727272725,146760.67415730338,93
Montréal,Total Immigrant Status,16.559550561797753,15.34943820224719,21.320454545454545,5.964772727272727,142150.5617977528,93
Toronto,Immigrant,24.691304347826087,24.082608695652173,27.48695652173913,3.404347826086956,151630.4347826087,24
Toronto,Non-immigrants,19.104347826086954,17.630434782608695,26.717391304347824,9.08695652173913,181617.39130434784,24
Toronto,Total Immigrant Status,21.917391304347827,20.9,27.282608695652176,6.382608695652174,165678.26086956522,24
Vancouver,Immigrant,24.077272727272728,22.87727272727273,26.59047619047619,3.5285714285714285,155759.0909090909,38
Vancouver,Non-immigrants,20.349999999999998,18.05,26.295454545454547,8.245454545454546,178154.54545454544,38
Vancouver,Total Immigrant Status,22.154545454545453,20.54090909090909,26.95,6.409090909090909,167945.45454545456,38
