csd_code,geography_name,cma,Renter,rent_income,renter_owner_gap,accessibility_index
2471100,Hudson (2471100) V 00000,Montréal,34.5,48000.0,16.7,0.9733096085409252
5915065,Lions Bay (5915065) VL 00000,Vancouver,36.0,136000.0,15.7,0.9112327613432993
2459010,Sainte-Julie (2459010) V 00000,Montréal,30.7,65500.0,13.1,0.8649828226908319
2460005,Charlemagne (2460005) V 00000,Montréal,29.9,56400.0,11.3,0.8470228182850489
3519038,Richmond Hill (3519038) T 00000,Toronto,33.1,98800.0,7.4,0.8380185365082446
5915007,White Rock (5915007) CY 00000,Vancouver,32.5,100100.0,8.1,0.8308769625122554
5915055,West Vancouver (5915055) DM 00000,Vancouver,35.7,164400.0,7.2,0.821807937078224
3519028,Vaughan (3519028) CY 00000,Toronto,31.8,109200.0,9.2,0.8174008127470994
2471025,Saint-Zotique (2471025) MÉ 00000,Montréal,28.4,63000.0,10.0,0.805369799180959
3524015,Halton Hills (3524015) T 00000,Toronto,29.9,96700.0,9.1,0.7945609801968291
2471070,Pincourt (2471070) V 00000,Montréal,27.8,57000.0,8.4,0.7894362470820117
3519036,Markham (3519036) CY 00000,Toronto,30.7,104200.0,6.8,0.7862150576629343
3519046,Aurora (3519046) T 00000,Toronto,31.5,107800.0,4.8,0.7835365738067951
5915020,Metro Vancouver A (5915020) RDA 00000,Vancouver,32.9,117500.0,2.3,0.7824611862121467
2466117,Sainte-Anne-de-Bellevue (2466117) V 00000,Montréal,26.5,59400.0,9.2,0.7694922784529856
3524001,Oakville (3524001) T 00000,Toronto,30.8,132200.0,7.9,0.7693650876904443
5915051,North Vancouver (5915051) CY 00000,Vancouver,29.5,99500.0,6.0,0.7638178976696929
3524009,Milton (3524009) T 00000,Toronto,30.4,116300.0,5.8,0.7628240264287044
4811049,Spruce Grove (4811049) CY 00000,Edmonton,28.2,90600.0,7.9,0.76185950646987
3519070,Georgina (3519070) T 00000,Toronto,28.9,79000.0,3.8,0.7573258657307624
2467020,Candiac (2467020) V 00000,Montréal,27.7,84000.0,7.4,0.7557219471313519
2466032,Westmount (2466032) V 00000,Montréal,29.0,135400.0,11.0,0.7553722006324697
3519054,East Gwillimbury (3519054) T 00000,Toronto,31.0,118300.0,3.4,0.7553656425343893
5915034,Coquitlam (5915034) CY 00000,Vancouver,28.8,93100.0,5.2,0.7519013857611534
