geography_name,immigrant_status,Total,Owner,Renter,renter_owner_gap,csd_code,cma,join_key,tot_pop,tot_income,own_pop,own_income,rent_pop,rent_income,annual_housing_cost_total,annual_housing_cost_owner,annual_housing_cost_renter
Belcarra (5915036) VL 00000,Total Immigrant Status,18.6,16.5,39.5,23.0,5915036,Vancouver,5915036|Total Immigrant Status,630.0,274000.0,570.0,292000.0,60.0,108000.0,50964.0,48180.0,42660.0
Hudson (2471100) V 00000,Immigrant,18.7,17.8,34.5,16.7,2471100,Montréal,2471100|Immigrant,1175.0,158000.0,1115.0,164400.0,60.0,48000.0,29546.0,29263.2,16560.0
Lions Bay (5915065) VL 00000,Immigrant,22.0,20.3,36.0,15.7,5915065,Vancouver,5915065|Immigrant,570.0,206000.0,510.0,215000.0,60.0,136000.0,45320.0,43645.0,48960.0
Belcarra (5915036) VL 00000,Non-immigrants,16.7,15.6,31.0,15.4,5915036,Vancouver,5915036|Non-immigrants,465.0,298000.0,430.0,311000.0,40.0,140000.0,49766.0,48516.0,43400.0
Metro Vancouver A (5915020) RDA 00000,Non-immigrants,26.4,17.5,32.9,15.4,5915020,Vancouver,5915020|Non-immigrants,3880.0,154400.0,1625.0,200800.0,2255.0,120900.0,40761.6,35140.0,39776.1
West Vancouver (5915055) DM 00000,Non-immigrants,20.2,16.5,31.6,15.1,5915055,Vancouver,5915055|Non-immigrants,17435.0,325200.0,13155.0,365600.0,4280.0,200800.0,65690.4,60324.0,63452.8
Pointe-Claire (2466097) V 00000,Non-immigrants,16.7,13.6,27.9,14.3,2466097,Montréal,2466097|Non-immigrants,19770.0,149800.0,15470.0,169400.0,4300.0,79300.0,25016.6,23038.4,22124.7
Westmount (2466032) V 00000,Non-immigrants,18.9,14.5,28.6,14.1,2466032,Montréal,2466032|Non-immigrants,11215.0,436000.0,7745.0,575500.0,3470.0,123400.0,82403.99999999999,83447.5,35292.4
Vaughan (3519028) CY 00000,Non-immigrants,18.3,17.0,30.5,13.5,3519028,Toronto,3519028|Non-immigrants,108265.0,213800.0,97935.0,223800.0,10330.0,117100.0,39125.4,38046.0,35715.5
Westmount (2466032) V 00000,Total Immigrant Status,20.4,15.7,28.8,13.1,2466032,Montréal,2466032|Total Immigrant Status,17925.0,384000.0,11455.0,528000.0,6470.0,129000.0,78335.99999999999,82896.0,37152.0
Sainte-Julie (2459010) V 00000,Immigrant,19.0,17.6,30.7,13.1,2459010,Montréal,2459010|Immigrant,2685.0,135400.0,2395.0,143800.0,285.0,65500.0,25726.0,25308.8,20108.5
Bon Accord (4811066) T 00000,Total Immigrant Status,22.3,20.6,33.2,12.6,4811066,Edmonton,4811066|Total Immigrant Status,1510.0,117000.0,1310.0,123500.0,205.0,74500.0,26091.0,25441.0,24734.0
Oakville (3524001) T 00000,Non-immigrants,17.7,15.6,28.2,12.6,3524001,Toronto,3524001|Non-immigrants,92550.0,258400.0,77515.0,283600.0,15035.0,127000.0,45736.8,44241.6,35814.0
