,geography_name,cma,Immigrant,Non-immigrants,imm_renter_premium
1,Lions Bay (5915065) VL 00000,Vancouver,36.0,19.6,16.4
2,Carignan (2457010) V 00000,Montréal,29.6,19.0,10.600000000000001
3,Sainte-Julie (2459010) V 00000,Montréal,30.7,20.4,10.3
4,Charlemagne (2460005) V 00000,Montréal,29.9,19.6,10.299999999999997
5,Hudson (2471100) V 00000,Montréal,34.5,25.2,9.3
6,Notre-Dame-de-l'Île-Perrot (2471065) V 00000,Montréal,25.6,17.4,8.200000000000003
7,Sainte-Marthe-sur-le-Lac (2472015) V 00000,Montréal,26.1,19.1,7.0
8,Senneville (2466127) VL 00000,Montréal,18.0,11.6,6.4
9,Richmond Hill (3519038) T 00000,Toronto,33.1,27.6,5.5
10,Saint-Lin--Laurentides (2463048) V 00000,Montréal,23.5,18.5,5.0
